seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr14	99943547	99943696	150	*	Exon (ENSMUST00000226205.1/ENSMUSG00000072294.5, exon 1 of 3)	14	99870632	100284679	414048	2	ENSMUSG00000072294.5	ENSMUST00000228216.1	340983
chr14	99944739	99944904	166	*	Intron (ENSMUST00000228216.1/ENSMUSG00000072294.5, intron 5 of 7)	14	99870632	100284679	414048	2	ENSMUSG00000072294.5	ENSMUST00000228216.1	339775
chr14	101493640	101493810	171	*	Intron (ENSMUST00000161991.7/ENSMUSG00000033083.16, intron 5 of 18)	14	101442360	101609033	166674	2	ENSMUSG00000033083.16	ENSMUST00000161991.7	115223
chr14	101495033	101495182	150	*	Intron (ENSMUST00000161991.7/ENSMUSG00000033083.16, intron 4 of 18)	14	101442360	101609033	166674	2	ENSMUSG00000033083.16	ENSMUST00000161991.7	113851
chr14	103587727	103587878	152	*	Intron (ENSMUST00000227322.1/ENSMUSG00000022123.9, intron 20 of 29)	14	103513342	103612797	99456	1	ENSMUSG00000022123.9	ENSMUST00000227322.1	74385
chr14	108911854	108912039	186	*	Promoter (2-3kb)	14	108908800	108914158	5359	2	ENSMUSG00000075478.3	ENSMUST00000100322.3	2119
chr14	111676825	111676986	162	*	Promoter (1-2kb)	14	111675097	111683141	8045	1	ENSMUSG00000033214.10	ENSMUST00000042767.8	1728
chr14	115041971	115042128	158	*	Promoter (<=1kb)	14	115042879	115046727	3849	1	ENSMUSG00000089726.2	ENSMUST00000134140.2	-751
chr14	116927984	116928293	310	*	Promoter (2-3kb)	14	116925315	117627198	701884	1	ENSMUSG00000058571.11	ENSMUST00000123239.1	2669
chr14	118233849	118234042	194	*	Promoter (2-3kb)	14	118233232	118237030	3799	2	ENSMUSG00000061517.8	ENSMUST00000170662.1	2988
chr14	119007117	119007359	243	*	Promoter (<=1kb)	14	118986193	119007225	21033	2	ENSMUSG00000042104.18	ENSMUST00000123350.7	0
chr14	120140838	120141044	207	*	Intron (ENSMUST00000226227.1/ENSMUSG00000115146.1, intron 3 of 8)	14	120089943	120195452	105510	2	ENSMUSG00000115146.1	ENSMUST00000226227.1	54408
chr14	120278259	120278444	186	*	Promoter (2-3kb)	14	120275669	120431697	156029	1	ENSMUSG00000022139.17	ENSMUST00000088419.12	2590
chr14	121613766	121614229	464	*	Intron (ENSMUST00000212376.2/ENSMUSG00000025558.19, intron 27 of 54)	14	121542046	121738861	196816	2	ENSMUSG00000025558.19	ENSMUST00000212376.2	124632
chr14	121618287	121618478	192	*	Intron (ENSMUST00000212376.2/ENSMUSG00000025558.19, intron 27 of 54)	14	121542046	121738861	196816	2	ENSMUSG00000025558.19	ENSMUST00000212376.2	120383
chr14	121722740	121722914	175	*	Intron (ENSMUST00000212376.2/ENSMUSG00000025558.19, intron 1 of 54)	14	121542046	121738861	196816	2	ENSMUSG00000025558.19	ENSMUST00000212376.2	15947
chr14	122453266	122454336	1071	*	Promoter (2-3kb)	14	122434854	122451115	16262	2	ENSMUSG00000064052.3	ENSMUST00000081580.2	-2151
chr14	123296740	123296930	191	*	Intron (ENSMUST00000000201.6/ENSMUSG00000000197.8, intron 34 of 43)	14	123276634	123627144	350511	2	ENSMUSG00000000197.8	ENSMUST00000000201.6	330214
chr14	124675858	124676095	238	*	Promoter (1-2kb)	14	123977907	124677127	699221	2	ENSMUSG00000025551.13	ENSMUST00000095529.9	1032
chr15	7334946	7335279	334	*	Intron (ENSMUST00000058593.9/ENSMUSG00000042961.13, intron 1 of 21)	15	7206120	7398304	192185	2	ENSMUSG00000042961.13	ENSMUST00000058593.9	63025
chr15	8446214	8446373	160	*	Promoter (1-2kb)	15	8290617	8444463	153847	2	ENSMUSG00000022141.7	ENSMUST00000052965.7	-1751
chr15	10680895	10681421	527	*	Intron (ENSMUST00000090339.10/ENSMUSG00000022246.14, intron 2 of 17)	15	10568969	10713540	144572	2	ENSMUSG00000022246.14	ENSMUST00000090339.10	32119
chr15	25026922	25027071	150	*	Promoter (<=1kb)	15	24981620	25027358	45739	2	ENSMUSG00000097452.2	ENSMUST00000180955.1	287
chr15	25364703	25365661	959	*	5' UTR	15	25363277	25413764	50488	2	ENSMUSG00000045763.8	ENSMUST00000058845.8	48103
chr15	25367233	25367387	155	*	Intron (ENSMUST00000058845.8/ENSMUSG00000045763.8, intron 1 of 1)	15	25363277	25413764	50488	2	ENSMUSG00000045763.8	ENSMUST00000058845.8	46377
chr15	25368881	25370785	1905	*	Intron (ENSMUST00000058845.8/ENSMUSG00000045763.8, intron 1 of 1)	15	25363277	25413764	50488	2	ENSMUSG00000045763.8	ENSMUST00000058845.8	42979
chr15	25376191	25377662	1472	*	Intron (ENSMUST00000058845.8/ENSMUSG00000045763.8, intron 1 of 1)	15	25363277	25413764	50488	2	ENSMUSG00000045763.8	ENSMUST00000058845.8	36102
chr15	25411139	25411307	169	*	Promoter (2-3kb)	15	25363277	25413764	50488	2	ENSMUSG00000045763.8	ENSMUST00000058845.8	2457
chr15	25417116	25417318	203	*	Promoter (2-3kb)	15	25415022	25458827	43806	1	ENSMUSG00000115729.1	ENSMUST00000227204.1	2094
chr15	25418371	25418536	166	*	Intron (ENSMUST00000227204.1/ENSMUSG00000115729.1, intron 1 of 1)	15	25415022	25458827	43806	1	ENSMUSG00000115729.1	ENSMUST00000227204.1	3349
chr15	25448647	25448862	216	*	Intron (ENSMUST00000227204.1/ENSMUSG00000115729.1, intron 1 of 1)	15	25415022	25458827	43806	1	ENSMUSG00000115729.1	ENSMUST00000227204.1	33625
chr15	25760918	25761128	211	*	Intron (ENSMUST00000110457.7/ENSMUSG00000022272.17, intron 19 of 40)	15	25622525	25813673	191149	1	ENSMUSG00000022272.17	ENSMUST00000110457.7	138393
chr15	25774212	25774395	184	*	5' UTR	15	25622525	25813673	191149	1	ENSMUSG00000022272.17	ENSMUST00000110457.7	151687
chr15	25801517	25802873	1357	*	Intron (ENSMUST00000110457.7/ENSMUSG00000022272.17, intron 33 of 40)	15	25622525	25813673	191149	1	ENSMUSG00000022272.17	ENSMUST00000110457.7	178992
chr15	25905160	25905351	192	*	Intron (ENSMUST00000022881.14/ENSMUSG00000022270.16, intron 3 of 8)	15	25843180	25973687	130508	1	ENSMUSG00000022270.16	ENSMUST00000022881.14	61980
chr15	27467909	27468249	341	*	Promoter (1-2kb)	15	27466677	27594909	128233	1	ENSMUSG00000022265.7	ENSMUST00000022875.6	1232
chr15	27536676	27536831	156	*	Intron (ENSMUST00000022875.6/ENSMUSG00000022265.7, intron 1 of 11)	15	27466677	27594909	128233	1	ENSMUSG00000022265.7	ENSMUST00000022875.6	69999
chr15	27575804	27575955	152	*	Intron (ENSMUST00000022875.6/ENSMUSG00000022265.7, intron 8 of 11)	15	27466677	27594909	128233	1	ENSMUSG00000022265.7	ENSMUST00000022875.6	109127
chr15	27782154	27782316	163	*	Intron (ENSMUST00000090247.6/ENSMUSG00000022263.10, intron 34 of 56)	15	27730651	28025848	295198	2	ENSMUSG00000022263.10	ENSMUST00000090247.6	243532
chr15	27955659	27955824	166	*	Intron (ENSMUST00000090247.6/ENSMUSG00000022263.10, intron 1 of 56)	15	27730651	28025848	295198	2	ENSMUSG00000022263.10	ENSMUST00000090247.6	70024
chr15	27997678	27997932	255	*	Intron (ENSMUST00000090247.6/ENSMUSG00000022263.10, intron 1 of 56)	15	27730651	28025848	295198	2	ENSMUSG00000022263.10	ENSMUST00000090247.6	27916
chr15	28024231	28024467	237	*	Promoter (1-2kb)	15	27730651	28025848	295198	2	ENSMUSG00000022263.10	ENSMUST00000090247.6	1381
chr15	28110375	28110740	366	*	Intron (ENSMUST00000228807.1/ENSMUSG00000115773.1, intron 1 of 5)	15	28053099	28118452	65354	2	ENSMUSG00000115773.1	ENSMUST00000228807.1	7712
chr15	30191048	30191226	179	*	Intron (ENSMUST00000081728.6/ENSMUSG00000022240.10, intron 1 of 22)	15	30172593	31029341	856749	1	ENSMUSG00000022240.10	ENSMUST00000081728.6	18455
chr15	30286188	30286427	240	*	Intron (ENSMUST00000081728.6/ENSMUSG00000022240.10, intron 1 of 22)	15	30172593	31029341	856749	1	ENSMUSG00000022240.10	ENSMUST00000081728.6	113595
chr15	30435080	30435248	169	*	Intron (ENSMUST00000081728.6/ENSMUSG00000022240.10, intron 2 of 22)	15	30172593	31029341	856749	1	ENSMUSG00000022240.10	ENSMUST00000081728.6	262487
chr15	30457774	30457967	194	*	Promoter (<=1kb)	15	30457788	30504438	46651	1	ENSMUSG00000022240.10	ENSMUST00000227004.1	0
chr15	30485369	30485663	295	*	Intron (ENSMUST00000081728.6/ENSMUSG00000022240.10, intron 3 of 22)	15	30172593	31029341	856749	1	ENSMUSG00000022240.10	ENSMUST00000081728.6	312776
chr15	31338087	31338236	150	*	Intron (ENSMUST00000123325.8/ENSMUSG00000022237.17, intron 1 of 3)	15	31291478	31367726	76249	2	ENSMUSG00000022237.17	ENSMUST00000123325.8	29490
chr15	34828737	34830101	1365	*	Promoter (2-3kb)	15	34823180	34826429	3250	2	ENSMUSG00000115360.1	ENSMUST00000226322.1	-2308
chr15	36793108	36793899	792	*	Promoter (<=1kb)	15	36771704	36793837	22134	2	ENSMUSG00000022285.17	ENSMUST00000110362.3	0
chr15	37458822	37459507	686	*	Promoter (<=1kb)	15	37366218	37459360	93143	2	ENSMUSG00000051359.15	ENSMUST00000120746.7	0
chr15	37607989	37608147	159	*	Intron (ENSMUST00000168992.7/ENSMUSG00000051359.15, intron 2 of 6)	15	37366175	37792000	425826	2	ENSMUSG00000051359.15	ENSMUST00000168992.7	183853
chr15	37672361	37672523	163	*	Intron (ENSMUST00000168992.7/ENSMUSG00000051359.15, intron 1 of 6)	15	37366175	37792000	425826	2	ENSMUSG00000051359.15	ENSMUST00000168992.7	119477
chr15	37734076	37734298	223	*	5' UTR	15	37366175	37792000	425826	2	ENSMUSG00000051359.15	ENSMUST00000168992.7	57702
chr15	39636237	39636658	422	*	Intron (ENSMUST00000082054.11/ENSMUSG00000037386.16, intron 22 of 26)	15	39198332	39681940	483609	1	ENSMUSG00000037386.16	ENSMUST00000082054.11	437905
chr15	40958441	40958647	207	*	Intron (ENSMUST00000053467.5/ENSMUSG00000022306.9, intron 5 of 7)	15	40655035	41104592	449558	1	ENSMUSG00000022306.9	ENSMUST00000053467.5	303406
chr15	41611907	41612097	191	*	Intron (ENSMUST00000090096.10/ENSMUSG00000022307.16, intron 2 of 15)	15	41447482	41861045	413564	1	ENSMUSG00000022307.16	ENSMUST00000090096.10	164425
chr15	43867873	43868874	1002	*	Promoter (1-2kb)	15	43864646	43870036	5391	2	ENSMUSG00000054409.5	ENSMUST00000067469.5	1162
chr15	44677696	44677858	163	*	3' UTR	15	44671856	44747917	76062	2	ENSMUSG00000022340.15	ENSMUST00000227081.1	70059
chr15	44703435	44703622	188	*	Intron (ENSMUST00000227081.1/ENSMUSG00000022340.15, intron 2 of 5)	15	44671856	44747917	76062	2	ENSMUSG00000022340.15	ENSMUST00000227081.1	44295
chr15	48789832	48790151	320	*	Promoter (1-2kb)	15	47580637	48791933	1211297	2	ENSMUSG00000022311.15	ENSMUST00000160658.7	1782
chr15	52765018	52765167	150	*	Intron (ENSMUST00000228660.1/ENSMUSG00000115137.1, intron 2 of 2)	15	52751427	52786267	34841	2	ENSMUSG00000115137.1	ENSMUST00000228660.1	21100
chr15	59079381	59079534	154	*	Promoter (2-3kb)	15	58941234	59081989	140756	2	ENSMUSG00000022353.10	ENSMUST00000080371.7	2455
chr15	59406074	59406223	150	*	Intron (ENSMUST00000168722.2/ENSMUSG00000059586.10, intron 2 of 4)	15	59374247	59539664	165418	1	ENSMUSG00000059586.10	ENSMUST00000168722.2	31827
chr15	59480158	59481456	1299	*	Intron (ENSMUST00000168722.2/ENSMUSG00000059586.10, intron 4 of 4)	15	59374247	59539664	165418	1	ENSMUSG00000059586.10	ENSMUST00000168722.2	105911
chr15	59520871	59521020	150	*	Intron (ENSMUST00000168722.2/ENSMUSG00000059586.10, intron 4 of 4)	15	59374247	59539664	165418	1	ENSMUSG00000059586.10	ENSMUST00000168722.2	146624
chr15	62078928	62079221	294	*	Intron (ENSMUST00000182956.7/ENSMUSG00000097039.8, intron 1 of 6)	15	62037986	62249528	211543	1	ENSMUSG00000097039.8	ENSMUST00000182956.7	40942
chr15	63670241	63670437	197	*	Intron (ENSMUST00000228339.2/ENSMUSG00000115520.2, intron 2 of 8)	15	63176838	63718289	541452	2	ENSMUSG00000115520.2	ENSMUST00000228339.2	47852
chr15	63671585	63671946	362	*	Intron (ENSMUST00000228339.2/ENSMUSG00000115520.2, intron 2 of 8)	15	63176838	63718289	541452	2	ENSMUSG00000115520.2	ENSMUST00000228339.2	46343
chr15	63997083	63998056	974	*	Promoter (<=1kb)	15	63930942	63997969	67028	2	ENSMUSG00000022378.14	ENSMUST00000164532.2	0
chr15	64311830	64312653	824	*	Promoter (<=1kb)	15	64088536	64312639	224104	2	ENSMUSG00000022377.16	ENSMUST00000177083.7	0
chr15	64920959	64921131	173	*	Promoter (1-2kb)	15	64697084	64922296	225213	2	ENSMUSG00000022376.8	ENSMUST00000023007.6	1165
chr15	66239665	66239886	222	*	Intron (ENSMUST00000070256.8/ENSMUSG00000056258.9, intron 1 of 14)	15	65986387	66286642	300256	2	ENSMUSG00000056258.9	ENSMUST00000070256.8	46756
chr15	66447483	66447747	265	*	Exon (ENSMUST00000023006.6/ENSMUSG00000022375.6, exon 7 of 12)	15	66379858	66500910	121053	2	ENSMUSG00000022375.6	ENSMUST00000023006.6	53163
chr15	72809221	72809895	675	*	Exon (ENSMUST00000202826.1/ENSMUSG00000106847.1, exon 1 of 1)	15	72589620	73055810	466191	2	ENSMUSG00000047921.17	ENSMUST00000023276.15	245915
chr15	72850951	72852907	1957	*	Exon (ENSMUST00000230270.1/ENSMUSG00000047921.17, exon 17 of 17)	15	72589620	73055810	466191	2	ENSMUSG00000047921.17	ENSMUST00000023276.15	202903
chr15	73139759	73141039	1281	*	Intron (ENSMUST00000044113.11/ENSMUSG00000036698.11, intron 2 of 18)	15	73095844	73184935	89092	2	ENSMUSG00000036698.11	ENSMUST00000044113.11	43896
chr15	73152019	73152332	314	*	Intron (ENSMUST00000044113.11/ENSMUSG00000036698.11, intron 1 of 18)	15	73095844	73184935	89092	2	ENSMUSG00000036698.11	ENSMUST00000044113.11	32603
chr15	75558978	75559159	182	*	Intron (ENSMUST00000163116.7/ENSMUSG00000022577.17, intron 6 of 10)	15	75551268	75566648	15381	2	ENSMUSG00000022577.17	ENSMUST00000163116.7	7489
chr15	76714952	76715126	175	*	3' UTR	15	76710638	76717699	7062	1	ENSMUSG00000033728.14	ENSMUST00000127208.7	4314
chr15	77151546	77151818	273	*	Intron (ENSMUST00000171751.9/ENSMUSG00000033565.18, intron 2 of 13)	15	77078990	77306928	227939	2	ENSMUSG00000033565.18	ENSMUST00000171751.9	155110
chr15	77245954	77246175	222	*	Intron (ENSMUST00000171751.9/ENSMUSG00000033565.18, intron 1 of 13)	15	77078990	77306928	227939	2	ENSMUSG00000033565.18	ENSMUST00000171751.9	60753
chr15	78450429	78450600	172	*	Intron (ENSMUST00000017086.4/ENSMUSG00000016942.6, intron 10 of 17)	15	78439667	78468634	28968	2	ENSMUSG00000016942.6	ENSMUST00000017086.4	18034
chr15	78711236	78711431	196	*	Intron (ENSMUST00000229441.1/ENSMUSG00000043460.7, intron 1 of 1)	15	78667331	78718113	50783	2	ENSMUSG00000043460.7	ENSMUST00000229441.1	6682
chr15	79201110	79201296	187	*	Exon (ENSMUST00000130745.7/ENSMUSG00000075555.12, exon 2 of 5)	15	79166041	79216383	50343	1	ENSMUSG00000075555.12	ENSMUST00000131710.7	35069
chr15	79244213	79244532	320	*	Intron (ENSMUST00000163571.7/ENSMUSG00000068206.13, intron 6 of 12)	15	79229173	79249484	20312	1	ENSMUSG00000068206.13	ENSMUST00000163571.7	15040
chr15	79357304	79357466	163	*	Exon (ENSMUST00000229130.1/ENSMUSG00000042622.14, exon 3 of 3)	15	79346621	79359072	12452	1	ENSMUSG00000042622.14	ENSMUST00000229130.1	10683
chr15	79360949	79361992	1044	*	3' UTR	15	79360684	79403569	42886	2	ENSMUSG00000009035.15	ENSMUST00000074991.9	41577
chr15	79441644	79442609	966	*	Promoter (<=1kb)	15	79417856	79441999	24144	2	ENSMUSG00000022433.20	ENSMUST00000117786.7	0
chr15	79500465	79500722	258	*	Intron (ENSMUST00000057801.7/ENSMUSG00000044216.7, intron 1 of 1)	15	79483714	79505241	21528	2	ENSMUSG00000044216.7	ENSMUST00000057801.7	4519
chr15	79511359	79511516	158	*	Promoter (1-2kb)	15	79510325	79512517	2193	1	ENSMUSG00000116243.1	ENSMUST00000230717.1	1034
chr15	80800551	80801202	652	*	Intron (ENSMUST00000067689.8/ENSMUSG00000047888.10, intron 4 of 24)	15	80711313	80941085	229773	1	ENSMUSG00000047888.10	ENSMUST00000067689.8	89238
chr15	81356780	81356929	150	*	Intron (ENSMUST00000023040.8/ENSMUSG00000022404.8, intron 1 of 8)	15	81318911	81360812	41902	2	ENSMUSG00000022404.8	ENSMUST00000023040.8	3883
chr15	81421850	81422037	188	*	Intron (ENSMUST00000163754.8/ENSMUSG00000022401.12, intron 2 of 9)	15	81400138	81457482	57345	1	ENSMUSG00000022401.12	ENSMUST00000163754.8	21712
chr15	81729167	81729801	635	*	Promoter (<=1kb)	15	81712821	81729399	16579	2	ENSMUSG00000022391.16	ENSMUST00000230302.1	0
chr15	82015422	82016765	1344	*	Promoter (<=1kb)	15	82015519	82040085	24567	1	ENSMUSG00000022471.14	ENSMUST00000100399.10	0
chr15	82825233	82825480	248	*	Exon (ENSMUST00000048966.6/ENSMUSG00000041852.15, exon 3 of 5)	15	82808436	82912134	103699	2	ENSMUSG00000041852.15	ENSMUST00000048966.6	86654
chr15	82899593	82899771	179	*	5' UTR	15	82808436	82912134	103699	2	ENSMUSG00000041852.15	ENSMUST00000048966.6	12363
chr15	82940343	82942572	2230	*	Intron (ENSMUST00000229547.1/ENSMUSG00000041852.15, intron 1 of 1)	15	82856793	82963558	106766	2	ENSMUSG00000041852.15	ENSMUST00000229547.1	20986
chr15	83667243	83667482	240	*	Intron (ENSMUST00000144773.1/ENSMUSG00000016763.15, intron 4 of 20)	15	83604999	83725021	120023	2	ENSMUSG00000016763.15	ENSMUST00000144773.1	57539
chr15	83785029	83785239	211	*	Intron (ENSMUST00000109469.1/ENSMUSG00000041708.12, intron 1 of 1)	15	83779467	83792131	12665	1	ENSMUSG00000041708.12	ENSMUST00000109469.1	5562
chr15	83848795	83848959	165	*	Intron (ENSMUST00000163723.7/ENSMUSG00000041708.12, intron 2 of 4)	15	83779982	83856729	76748	1	ENSMUSG00000041708.12	ENSMUST00000163723.7	68813
chr15	83964117	83964332	216	*	Intron (ENSMUST00000156187.7/ENSMUSG00000022441.17, intron 10 of 31)	15	83866712	84065349	198638	2	ENSMUSG00000022441.17	ENSMUST00000156187.7	101017
chr15	84003791	84004049	259	*	Intron (ENSMUST00000156187.7/ENSMUSG00000022441.17, intron 6 of 31)	15	83866712	84065349	198638	2	ENSMUSG00000022441.17	ENSMUST00000156187.7	61300
chr15	84008738	84009830	1093	*	Intron (ENSMUST00000156187.7/ENSMUSG00000022441.17, intron 6 of 31)	15	83866712	84065349	198638	2	ENSMUSG00000022441.17	ENSMUST00000156187.7	55519
chr15	84238440	84238849	410	*	Intron (ENSMUST00000023072.6/ENSMUSG00000022438.6, intron 1 of 12)	15	84232043	84315688	83646	1	ENSMUSG00000022438.6	ENSMUST00000023072.6	6397
chr15	84244980	84245186	207	*	Intron (ENSMUST00000023072.6/ENSMUSG00000022438.6, intron 1 of 12)	15	84232043	84315688	83646	1	ENSMUSG00000022438.6	ENSMUST00000023072.6	12937
chr15	84842955	84843108	154	*	Intron (ENSMUST00000016768.11/ENSMUSG00000016624.15, intron 2 of 12)	15	84785381	84855110	69730	2	ENSMUSG00000016624.15	ENSMUST00000016768.11	12002
chr15	85041397	85043160	1764	*	Promoter (<=1kb)	15	85042742	85062830	20089	1	ENSMUSG00000022434.8	ENSMUST00000229203.1	0
chr15	85669016	85669441	426	*	Intron (ENSMUST00000230913.1/ENSMUSG00000116305.1, intron 1 of 6)	15	85653616	85707524	53909	1	ENSMUSG00000116305.1	ENSMUST00000230913.1	15400
chr15	85670564	85671879	1316	*	Intron (ENSMUST00000230913.1/ENSMUSG00000116305.1, intron 1 of 6)	15	85653616	85707524	53909	1	ENSMUSG00000116305.1	ENSMUST00000230913.1	16948
chr15	85674160	85674384	225	*	Intron (ENSMUST00000230913.1/ENSMUSG00000116305.1, intron 1 of 6)	15	85653616	85707524	53909	1	ENSMUSG00000116305.1	ENSMUST00000230913.1	20544
chr15	85678065	85678222	158	*	Intron (ENSMUST00000230913.1/ENSMUSG00000116305.1, intron 1 of 6)	15	85653616	85707524	53909	1	ENSMUSG00000116305.1	ENSMUST00000230913.1	24449
chr15	89179326	89179488	163	*	Promoter (1-2kb)	15	89155549	89180788	25240	2	ENSMUSG00000036606.17	ENSMUST00000109331.8	1300
chr15	89356739	89356953	215	*	Promoter (1-2kb)	15	89355719	89372826	17108	1	ENSMUSG00000008690.15	ENSMUST00000036987.11	1020
chr15	89734073	89734270	198	*	Promoter (2-3kb)	15	89735961	89736517	557	2	ENSMUSG00000116149.1	ENSMUST00000229546.1	2247
chr15	93594481	93594638	158	*	Promoter (1-2kb)	15	93499114	93595891	96778	2	ENSMUSG00000036158.12	ENSMUST00000048982.10	1253
chr15	94731954	94732145	192	*	Intron (ENSMUST00000080141.5/ENSMUSG00000063296.5, intron 3 of 7)	15	94629250	95096098	466849	1	ENSMUSG00000063296.5	ENSMUST00000080141.5	102704
chr15	95022606	95022765	160	*	Intron (ENSMUST00000080141.5/ENSMUSG00000063296.5, intron 6 of 7)	15	94629250	95096098	466849	1	ENSMUSG00000063296.5	ENSMUST00000080141.5	393356
chr15	95280891	95281053	163	*	Intron (ENSMUST00000229933.1/ENSMUSG00000022454.17, intron 16 of 20)	15	95075230	95528559	453330	2	ENSMUSG00000022454.17	ENSMUST00000229933.1	247506
chr15	95473316	95474606	1291	*	Exon (ENSMUST00000229933.1/ENSMUSG00000022454.17, exon 4 of 21)	15	95075230	95528559	453330	2	ENSMUSG00000022454.17	ENSMUST00000229933.1	53953
chr15	96178236	96178525	290	*	Intron (ENSMUST00000180852.1/ENSMUSG00000097536.2, intron 5 of 6)	15	96134819	96283608	148790	2	ENSMUSG00000097536.2	ENSMUST00000180852.1	105083
chr15	96202356	96202527	172	*	Intron (ENSMUST00000180852.1/ENSMUSG00000097536.2, intron 1 of 6)	15	96134819	96283608	148790	2	ENSMUSG00000097536.2	ENSMUST00000180852.1	81081
chr15	96283174	96283643	470	*	Promoter (<=1kb)	15	96134819	96283608	148790	2	ENSMUSG00000097536.2	ENSMUST00000180852.1	0
chr15	98108546	98109221	676	*	5' UTR	15	98092589	98120906	28318	1	ENSMUSG00000033065.14	ENSMUST00000229280.1	15957
chr15	98532916	98533151	236	*	Promoter (1-2kb)	15	98517658	98534264	16607	2	ENSMUSG00000022992.17	ENSMUST00000230542.1	1113
chr15	98566969	98567298	330	*	Intron (ENSMUST00000169707.7/ENSMUSG00000011960.12, intron 2 of 9)	15	98538689	98570923	32235	2	ENSMUSG00000011960.12	ENSMUST00000169707.7	3625
chr15	98992398	98992623	226	*	Exon (ENSMUST00000230013.1/ENSMUSG00000097587.2, exon 4 of 4)	15	98983627	98996446	12820	1	ENSMUSG00000097587.2	ENSMUST00000230013.1	8771
chr15	99818814	99819031	218	*	Promoter (<=1kb)	15	99819020	99834570	15551	1	ENSMUSG00000090500.1	ENSMUST00000169887.1	0
chr15	99973326	99973767	442	*	Intron (ENSMUST00000057632.15/ENSMUSG00000023025.16, intron 1 of 15)	15	99970065	100014011	43947	1	ENSMUSG00000023025.16	ENSMUST00000057632.15	3261
chr15	100066830	100067176	347	*	Intron (ENSMUST00000100203.9/ENSMUSG00000023026.16, intron 1 of 37)	15	100038664	100219473	180810	1	ENSMUSG00000023026.16	ENSMUST00000100203.9	28166
chr15	100871884	100872043	160	*	Promoter (2-3kb)	15	100869858	100936327	66470	1	ENSMUSG00000023033.14	ENSMUST00000201484.3	2026
chr15	101265946	101267829	1884	*	Promoter (<=1kb)	15	101266846	101270124	3279	1	ENSMUSG00000023034.7	ENSMUST00000230814.1	0
chr16	4396067	4396248	182	*	Intron (ENSMUST00000117801.7/ENSMUSG00000005580.11, intron 2 of 10)	16	4287529	4419808	132280	2	ENSMUSG00000005580.11	ENSMUST00000117801.7	23560
chr16	4684373	4684571	199	*	Intron (ENSMUST00000144815.1/ENSMUSG00000004069.17, intron 3 of 3)	16	4639989	4687292	47304	1	ENSMUSG00000004069.17	ENSMUST00000144815.1	44384
chr16	5992324	5992698	375	*	Intron (ENSMUST00000230658.1/ENSMUSG00000008658.16, intron 1 of 11)	16	5885355	7353045	1467691	1	ENSMUSG00000008658.16	ENSMUST00000230658.1	106969
chr16	6079367	6079516	150	*	Intron (ENSMUST00000230658.1/ENSMUSG00000008658.16, intron 1 of 11)	16	5885355	7353045	1467691	1	ENSMUSG00000008658.16	ENSMUST00000230658.1	194012
chr16	6988705	6988962	258	*	Intron (ENSMUST00000230658.1/ENSMUSG00000008658.16, intron 4 of 11)	16	5885355	7353045	1467691	1	ENSMUSG00000008658.16	ENSMUST00000230658.1	1103350
chr16	11526248	11527701	1454	*	Intron (ENSMUST00000180792.7/ENSMUSG00000071669.14, intron 14 of 20)	16	11322908	11755472	432565	1	ENSMUSG00000071669.14	ENSMUST00000180792.7	203340
chr16	11586653	11586970	318	*	Intron (ENSMUST00000180792.7/ENSMUSG00000071669.14, intron 15 of 20)	16	11322908	11755472	432565	1	ENSMUSG00000071669.14	ENSMUST00000180792.7	263745
chr16	13358499	13358648	150	*	5' UTR	16	13256481	13415063	158583	1	ENSMUSG00000009569.14	ENSMUST00000009713.13	102018
chr16	15594157	15594608	452	*	Promoter (<=1kb)	16	15552677	15594524	41848	2	ENSMUSG00000022674.15	ENSMUST00000115777.9	0
chr16	17014496	17014708	213	*	Intron (ENSMUST00000232611.1/ENSMUSG00000063358.17, intron 1 of 8)	16	16983382	17044749	61368	1	ENSMUSG00000063358.17	ENSMUST00000232611.1	31114
chr16	17030739	17030907	169	*	Intron (ENSMUST00000232611.1/ENSMUSG00000063358.17, intron 6 of 8)	16	16983382	17044749	61368	1	ENSMUSG00000063358.17	ENSMUST00000232611.1	47357
chr16	17576761	17576920	160	*	Promoter (<=1kb)	16	17572532	17576998	4467	2	ENSMUSG00000022756.17	ENSMUST00000063544.10	78
chr16	17721983	17722804	822	*	Promoter (<=1kb)	16	17651208	17722900	71693	2	ENSMUSG00000012114.17	ENSMUST00000232645.1	96
chr16	18065330	18066772	1443	*	Promoter (<=1kb)	16	18066403	18071363	4961	1	ENSMUSG00000003531.15	ENSMUST00000151266.7	0
chr16	20487999	20488153	155	*	Promoter (<=1kb)	16	20488788	20491147	2360	1	ENSMUSG00000093381.1	ENSMUST00000177503.1	-635
chr16	21846178	21846667	490	*	Intron (ENSMUST00000231988.1/ENSMUSG00000033618.7, intron 2 of 14)	16	21794346	21933439	139094	1	ENSMUSG00000033618.7	ENSMUST00000231988.1	51832
chr16	22429955	22430209	255	*	Intron (ENSMUST00000079601.12/ENSMUSG00000013089.15, intron 5 of 12)	16	22381309	22439719	58411	2	ENSMUSG00000013089.15	ENSMUST00000079601.12	9510
chr16	22434185	22434489	305	*	Intron (ENSMUST00000079601.12/ENSMUSG00000013089.15, intron 5 of 12)	16	22381309	22439719	58411	2	ENSMUSG00000013089.15	ENSMUST00000079601.12	5230
